study,subgroup,panel,horizon,n,outcome,brier,auc,observed,predicted,observed_expected,mean_bias_pp,events
primary,age65_74,clinical,15,1128,infection,0.029074621850976222,0.6015229114700316,0.02988451363719346,0.027548350461875832,1.0848022889265418,-0.2336163175317627,28.0
primary,age65_74,clinical,15,1128,external,0.014246073756761266,0.5351094683219325,0.0143818002316834,0.007664873882340697,1.8763257494448806,-0.6716926349342703,14.0
primary,age65_74,clinical,15,1128,other_or_unresolved,0.11009207024849291,0.5501225712074375,0.12406981568209459,0.16060910014447488,0.7724955533060605,3.6539284462380293,136.0
primary,female,laboratory,15,2128,multistate,0.2249110897741447,,,,,,
primary,female,laboratory,15,2128,all_cause,0.09139948591024388,0.8474424715582459,0.1418239429434235,0.15890714814060228,0.8924956781549975,1.708320519717879,416.0
primary,female,laboratory,15,2128,ihd,0.03758245076713629,0.8506970912745888,0.042490711050870524,0.03850968213906466,1.1033773505953575,-0.39810289118058645,126.0
primary,female,laboratory,15,2128,heart_failure,0.0015168071460666122,0.7945299120170451,0.001508992787719269,0.004118743517896238,0.3663721183809058,0.26097507301769696,7.0
primary,female,laboratory,15,2128,stroke,0.010378611274632021,0.8988395166932296,0.011084912509669378,0.01569107730094771,0.7064468740460461,0.46061647912783305,54.0
primary,female,laboratory,15,2128,hypertension,0.001464802633858001,0.8665297538750297,0.0014614550334457828,0.003289387111407021,0.4442940231563842,0.18279320779612385,6.0
primary,female,laboratory,15,2128,aortic_aneurysm,0.002013763553761119,0.861695102689757,0.00201892921015176,0.0005861439593130567,3.4444255170997327,-0.14327852508387035,3.0
primary,female,laboratory,15,2128,chronic_respiratory,0.00345804199987248,0.8408295830559063,0.0034968990982451264,0.003592868086280779,0.9732890310105995,0.009596898803565252,9.0
primary,female,laboratory,15,2128,dementia,7.132569155171677e-05,0.9886271485619532,6.713591461403246e-05,0.0015932823358509463,0.04213685992958445,0.15261464212369139,1.0
primary,female,laboratory,15,2128,diabetes,0.005610053834120915,0.8652961416711411,0.005680891558038938,0.003282503848687306,1.7306580037402737,-0.23983877093516323,18.0
primary,female,laboratory,15,2128,renal,0.0016491004146796777,0.8903002596947038,0.0016576962306818523,0.0020393511928883845,0.8128547140201072,0.038165496220653225,5.0
primary,female,laboratory,15,2128,chronic_liver,0.00021018505175688846,0.153234163521052,0.00020425426103123063,0.0017674911680706708,0.11556168693854757,0.15632369070394403,1.0
primary,female,laboratory,15,2128,lung_cancer,0.008891577694420569,0.7224059260596857,0.00898789461292968,0.004780413687368522,1.8801499620584623,-0.42074809255611584,16.0
primary,female,laboratory,15,2128,colorectal_cancer,0.003794568087193659,0.8328314005988404,0.003836163103801352,0.0051236857985643685,0.74871162179309,0.12875226947630164,17.0
primary,female,laboratory,15,2128,pancreatic_cancer,0.003242464452933423,0.738984426864699,0.0032575070940033574,0.0019988712178001682,1.6296733201193243,-0.1258635876203189,9.0
primary,female,laboratory,15,2128,breast_cancer,0.0053470839224939925,0.5034563330689805,0.005256085897770294,0.010357092570019719,0.5074866196508551,0.5101006672249425,12.0
primary,female,laboratory,15,2128,prostate_cancer,0.0,,0.0,0.0,,0.0,0.0
primary,female,laboratory,15,2128,gastric_cancer,0.0007258879557216472,0.7740392106460078,0.0007264646155957674,0.0010113793253955065,0.7182909491566665,0.02849147097997391,2.0
primary,female,laboratory,15,2128,hematologic_cancer,0.0032152101423326127,0.8900466989830941,0.003254301218237513,0.004949097926892848,0.6575544202821291,0.16947967086553348,5.0
primary,female,laboratory,15,2128,infection,0.006534996185469042,0.8552423689687468,0.006663404027373683,0.005206637577281278,1.2797902539729058,-0.14567664500924044,15.0
primary,female,laboratory,15,2128,external,0.0072148513073320535,0.49110415772375426,0.007250322975332881,0.0037255274234760556,1.946119878126695,-0.3524795551856826,19.0
primary,female,laboratory,15,2128,other_or_unresolved,0.03058982174856811,0.8166201421109162,0.032919921743911076,0.04728391195339705,0.6962182354192035,1.436399020948597,91.0
primary,male,laboratory,15,1362,multistate,0.3427758087147802,,,,,,
primary,male,laboratory,15,1362,all_cause,0.1324071932724006,0.8187409134663834,0.22702671551142686,0.22919112705832428,0.9905563030529247,0.21644115468974212,516.0
primary,male,laboratory,15,1362,ihd,0.0689079722759399,0.7587988149368452,0.08003198102451545,0.075336206694119,1.0623309101487188,-0.4695774330396446,177.0
primary,male,laboratory,15,1362,heart_failure,0.0024972014280443865,0.7165301799438739,0.002503916988107858,0.003468548748256932,0.7218918256132812,0.09646317601490739,9.0
primary,male,laboratory,15,1362,stroke,0.009321844910439794,0.8525632537908272,0.009588143434588822,0.010951709746457369,0.8754928368778555,0.13635663118685468,39.0
primary,male,laboratory,15,1362,hypertension,0.004471547792121374,0.8230875792330667,0.004559781416230981,0.0037622913043940786,1.2119692621635896,-0.07974901118369022,12.0
primary,male,laboratory,15,1362,aortic_aneurysm,0.0023686016292361156,0.881375903981966,0.002381095694897391,0.001486178527919219,1.602159935812782,-0.0894917166978172,5.0
primary,male,laboratory,15,1362,chronic_respiratory,0.011640254621852343,0.8425709791449473,0.01204381521911383,0.013164580330174362,0.9148651090311143,0.11207651110605316,25.0
primary,male,laboratory,15,1362,dementia,0.0020469273029230847,0.8220203279379128,0.002054703284106476,0.0017933669515976332,1.1457238476910871,-0.026133633250884275,2.0
primary,male,laboratory,15,1362,diabetes,0.004097094087110065,0.8092086816555235,0.004129928547500126,0.003204556493056433,1.2887675896645199,-0.09253720544436929,5.0
primary,male,laboratory,15,1362,renal,0.0008583758019777086,0.8986293322661545,0.0008609880650262987,0.0010827102300702352,0.7952155998105297,0.022172216504393646,5.0
primary,male,laboratory,15,1362,chronic_liver,0.004339792993742229,0.4536918365856125,0.004347942515306524,0.0027054182338027686,1.6071239784597011,-0.1642524281503755,6.0
primary,male,laboratory,15,1362,lung_cancer,0.00872920192234116,0.8523927139235343,0.008933281077949466,0.014374446584591577,0.6214695658283869,0.5441165506642112,29.0
primary,male,laboratory,15,1362,colorectal_cancer,0.006205209386653672,0.6649281353420808,0.006251525486198899,0.003775873583409556,1.6556501027118253,-0.2475651902789343,14.0
primary,male,laboratory,15,1362,pancreatic_cancer,0.004866295736875211,0.8441839426348421,0.004911223549162807,0.0030511498500017434,1.6096303985725253,-0.1860073699161064,8.0
primary,male,laboratory,15,1362,breast_cancer,4.62501299299612e-07,,0.0,0.000527624789036078,0.0,0.0527624789036078,0.0
primary,male,laboratory,15,1362,prostate_cancer,0.005652466580643728,0.893475668583157,0.0057695129302136865,0.006800562988750144,0.8483875437604099,0.10310500585364574,21.0
primary,male,laboratory,15,1362,gastric_cancer,0.003910633462026109,0.690161391406508,0.003929047966554882,0.003324322219813325,1.181909486131436,-0.060472574674155705,7.0
primary,male,laboratory,15,1362,hematologic_cancer,0.006096643434459138,0.6406212323683067,0.0061280614283270324,0.007543063539631861,0.8124101561825253,0.14150021113048283,9.0
primary,male,laboratory,15,1362,infection,0.010824255576325034,0.7339418170264693,0.011081546207152732,0.008019078842387013,1.381897649961766,-0.30624673647657186,23.0
primary,male,laboratory,15,1362,external,0.010755762651778395,0.5422430343463435,0.010819509163801824,0.010980390727749293,0.985348284233557,0.016088156394746846,18.0
primary,male,laboratory,15,1362,other_or_unresolved,0.04277807134659089,0.7820893432676446,0.046700711512671786,0.05383904667310567,0.8674134182988847,0.7138335160433884,102.0
primary,age25_49,laboratory,15,1731,multistate,0.10780302584617546,,,,,,
primary,age25_49,laboratory,15,1731,all_cause,0.051253628567436406,0.739088209701347,0.057582063803427924,0.0626932707440822,0.9184727981170654,0.5111206940654269,111.0
primary,age25_49,laboratory,15,1731,ihd,0.017762934011275208,0.8118872824001861,0.018403568814186054,0.015484912624968164,1.18848386554741,-0.29186561892178897,24.0
primary,age25_49,laboratory,15,1731,heart_failure,0.001307141453531739,0.8231468835682516,0.0013108799726090563,0.0013159522483030097,0.9961455473019676,0.0005072275693953406,4.0
primary,age25_49,laboratory,15,1731,stroke,0.0023267781947862777,0.9278743047455129,0.002362000661820967,0.0033995692338093584,0.6947941045972601,0.10375685719883915,6.0
primary,age25_49,laboratory,15,1731,hypertension,0.0010935950686507215,0.8634219702156082,0.0010958859440296498,0.0010969564384217647,0.999024123151458,0.00010704943921148544,1.0
primary,age25_49,laboratory,15,1731,aortic_aneurysm,2.4789619230000244e-07,,0.0,0.00036429767250380105,0.0,0.03642976725038011,0.0
primary,age25_49,laboratory,15,1731,chronic_respiratory,0.0009585395387953757,0.7954016180135478,0.0009518924573766253,0.0030380028436983613,0.3133283628588786,0.20861103863217362,3.0
primary,age25_49,laboratory,15,1731,dementia,5.281446116061348e-07,,0.0,0.0006040892310027592,0.0,0.060408923100275916,0.0
